case_id,simulator,qubits,seed,threads,status,execution_seconds,compile_seconds,sample_seconds,peak_rss_bytes,circuit_sha256,error_type,error_message
clifft-q6-seed42-t16,clifft,6,42,16,success,0.003999245999921186,0.003941449999956603,5.7795999964582734e-05,176582656,8888630268b99420e73c2c3c5c383c5c848082ffcce90b1381f4c9be3b0dd7dc,,
qiskit-q6-seed42-t16,qiskit,6,42,16,success,0.0023928959999466315,0.0,0.0,176582656,8888630268b99420e73c2c3c5c383c5c848082ffcce90b1381f4c9be3b0dd7dc,,
qulacs-q6-seed42-t16,qulacs,6,42,16,success,0.0001095999998597108,0.0,0.0,176582656,8888630268b99420e73c2c3c5c383c5c848082ffcce90b1381f4c9be3b0dd7dc,,
qsim-q6-seed42-t16,qsim,6,42,16,success,0.016332985999952143,0.0,0.0,208744448,8888630268b99420e73c2c3c5c383c5c848082ffcce90b1381f4c9be3b0dd7dc,,
qsim-q6-seed43-t16,qsim,6,43,16,success,0.016464218000010078,0.0,0.0,208805888,e14805d42638e46e7a929dd6bb7eada6b107960f550972d4afd783976a4ba1a2,,
qulacs-q6-seed43-t16,qulacs,6,43,16,success,0.00011019199996553652,0.0,0.0,176582656,e14805d42638e46e7a929dd6bb7eada6b107960f550972d4afd783976a4ba1a2,,
qiskit-q6-seed43-t16,qiskit,6,43,16,success,0.0028697290001673537,0.0,0.0,176582656,e14805d42638e46e7a929dd6bb7eada6b107960f550972d4afd783976a4ba1a2,,
clifft-q6-seed43-t16,clifft,6,43,16,success,0.0037807330002124218,0.00372322900011568,5.750400009674195e-05,176582656,e14805d42638e46e7a929dd6bb7eada6b107960f550972d4afd783976a4ba1a2,,
clifft-q6-seed44-t16,clifft,6,44,16,success,0.003761363999956302,0.0037060610000025918,5.530299995371024e-05,176582656,83fcb9233318c925ac7dbb6d8dde1c9e9fbe4c3170c3716325e5fe1ac9dc354b,,
qiskit-q6-seed44-t16,qiskit,6,44,16,success,0.0025676060001842416,0.0,0.0,176582656,83fcb9233318c925ac7dbb6d8dde1c9e9fbe4c3170c3716325e5fe1ac9dc354b,,
qulacs-q6-seed44-t16,qulacs,6,44,16,success,0.00010834199997589167,0.0,0.0,176582656,83fcb9233318c925ac7dbb6d8dde1c9e9fbe4c3170c3716325e5fe1ac9dc354b,,
qsim-q6-seed44-t16,qsim,6,44,16,success,0.017064276999917638,0.0,0.0,208834560,83fcb9233318c925ac7dbb6d8dde1c9e9fbe4c3170c3716325e5fe1ac9dc354b,,
qsim-q8-seed42-t16,qsim,8,42,16,success,0.027753483999958917,0.0,0.0,209338368,108d891dcff0557f2b0b66d4667bd00e1e6cd564a3538dc7f3e7c829336c480e,,
qulacs-q8-seed42-t16,qulacs,8,42,16,success,0.00026855600003727886,0.0,0.0,176582656,108d891dcff0557f2b0b66d4667bd00e1e6cd564a3538dc7f3e7c829336c480e,,
qiskit-q8-seed42-t16,qiskit,8,42,16,success,0.004194427999891559,0.0,0.0,176582656,108d891dcff0557f2b0b66d4667bd00e1e6cd564a3538dc7f3e7c829336c480e,,
clifft-q8-seed42-t16,clifft,8,42,16,success,0.005200476000027265,0.005119113000091602,8.136299993566354e-05,176582656,108d891dcff0557f2b0b66d4667bd00e1e6cd564a3538dc7f3e7c829336c480e,,
clifft-q8-seed43-t16,clifft,8,43,16,success,0.0016541530001177307,0.0015837360001569323,7.041699996079842e-05,176582656,d2daa64face8f2780d53d0a9f7b37473a605acd97e023a9f1abf26e091468411,,
qiskit-q8-seed43-t16,qiskit,8,43,16,success,0.004943925999896237,0.0,0.0,176582656,d2daa64face8f2780d53d0a9f7b37473a605acd97e023a9f1abf26e091468411,,
qulacs-q8-seed43-t16,qulacs,8,43,16,success,0.00027083700001639954,0.0,0.0,176582656,d2daa64face8f2780d53d0a9f7b37473a605acd97e023a9f1abf26e091468411,,
qsim-q8-seed43-t16,qsim,8,43,16,success,0.027495991000023423,0.0,0.0,209375232,d2daa64face8f2780d53d0a9f7b37473a605acd97e023a9f1abf26e091468411,,
qsim-q8-seed44-t16,qsim,8,44,16,success,0.027675996999960262,0.0,0.0,209289216,26c5da92d53c5de152148f59b18a814dbc53da2fb9f857d4fecd990b7ee88cee,,
qulacs-q8-seed44-t16,qulacs,8,44,16,success,0.00027227900000070804,0.0,0.0,176582656,26c5da92d53c5de152148f59b18a814dbc53da2fb9f857d4fecd990b7ee88cee,,
qiskit-q8-seed44-t16,qiskit,8,44,16,success,0.0030107049999514857,0.0,0.0,176582656,26c5da92d53c5de152148f59b18a814dbc53da2fb9f857d4fecd990b7ee88cee,,
clifft-q8-seed44-t16,clifft,8,44,16,success,0.004472756000041045,0.0044043259999853035,6.84300000557414e-05,176582656,26c5da92d53c5de152148f59b18a814dbc53da2fb9f857d4fecd990b7ee88cee,,
clifft-q10-seed42-t16,clifft,10,42,16,success,0.007563159000028463,0.007424592000006669,0.00013856700002179423,176582656,73e7ea7dad1bd8897a3a3f7f6d15803ac7f49729fa78d12f92d775783fb3cc99,,
qiskit-q10-seed42-t16,qiskit,10,42,16,success,0.007116700000096898,0.0,0.0,176582656,73e7ea7dad1bd8897a3a3f7f6d15803ac7f49729fa78d12f92d775783fb3cc99,,
qulacs-q10-seed42-t16,qulacs,10,42,16,success,0.0016821670001263556,0.0,0.0,176582656,73e7ea7dad1bd8897a3a3f7f6d15803ac7f49729fa78d12f92d775783fb3cc99,,
qsim-q10-seed42-t16,qsim,10,42,16,success,0.042187931999933426,0.0,0.0,209776640,73e7ea7dad1bd8897a3a3f7f6d15803ac7f49729fa78d12f92d775783fb3cc99,,
qsim-q10-seed43-t16,qsim,10,43,16,success,0.042731479999929434,0.0,0.0,209887232,59897fcbe8009df6d0312ae67c3a2f7fadb582321c2275d43ec7e8552497d0a6,,
qulacs-q10-seed43-t16,qulacs,10,43,16,success,0.001693293000016638,0.0,0.0,176582656,59897fcbe8009df6d0312ae67c3a2f7fadb582321c2275d43ec7e8552497d0a6,,
qiskit-q10-seed43-t16,qiskit,10,43,16,success,0.007201167999937752,0.0,0.0,176582656,59897fcbe8009df6d0312ae67c3a2f7fadb582321c2275d43ec7e8552497d0a6,,
clifft-q10-seed43-t16,clifft,10,43,16,success,0.007133565000003728,0.006997527000066839,0.0001360379999368888,176582656,59897fcbe8009df6d0312ae67c3a2f7fadb582321c2275d43ec7e8552497d0a6,,
clifft-q10-seed44-t16,clifft,10,44,16,success,0.006984216999853743,0.006864035000035074,0.00012018199981866928,176582656,6e4c27bc1045edfa4f7c9597372a03195b5d189597d1ccfc2db7cb6569254ecd,,
qiskit-q10-seed44-t16,qiskit,10,44,16,success,0.005861540000068999,0.0,0.0,176582656,6e4c27bc1045edfa4f7c9597372a03195b5d189597d1ccfc2db7cb6569254ecd,,
qulacs-q10-seed44-t16,qulacs,10,44,16,success,0.001669664000019111,0.0,0.0,176582656,6e4c27bc1045edfa4f7c9597372a03195b5d189597d1ccfc2db7cb6569254ecd,,
qsim-q10-seed44-t16,qsim,10,44,16,success,0.043146147000015844,0.0,0.0,210104320,6e4c27bc1045edfa4f7c9597372a03195b5d189597d1ccfc2db7cb6569254ecd,,
qsim-q12-seed42-t16,qsim,12,42,16,success,0.06338348999997834,0.0,0.0,210075648,092f8e695078b98522a7c7f0184f3e462ce5fe0f719930fad6e0eb835f91321c,,
qulacs-q12-seed42-t16,qulacs,12,42,16,success,0.005527989999791316,0.0,0.0,176582656,092f8e695078b98522a7c7f0184f3e462ce5fe0f719930fad6e0eb835f91321c,,
qiskit-q12-seed42-t16,qiskit,12,42,16,success,0.013816770000175893,0.0,0.0,176582656,092f8e695078b98522a7c7f0184f3e462ce5fe0f719930fad6e0eb835f91321c,,
clifft-q12-seed42-t16,clifft,12,42,16,success,0.012369183999908273,0.011984900000015841,0.0003842839998924319,176582656,092f8e695078b98522a7c7f0184f3e462ce5fe0f719930fad6e0eb835f91321c,,
clifft-q12-seed43-t16,clifft,12,43,16,success,0.012905698999929882,0.012404274999880727,0.0005014240000491554,176582656,f0ae2cfa714bd0cc67ce8a830e6f0f46f31eb8e7938a87f9093b376d53727606,,
