tool,workload_id,status,workers,hourly_usd,batch_size,sample_chunk_shots,shots_per_call,median_attempted_shots_per_second,mad_attempted_shots_per_second,attempted_shots_per_dollar
clifft,msc-d3-inject-cultivate-p1e-3,success,64,3.89504,2048,0,67108864,182491313.79833075,423124.48056688905,168668031566.8108
clifft,msc-d5-inject-cultivate-p1e-3,success,64,3.89504,1,0,6869504,13855905.914269734,115494.28431908228,12806354053.198694
clifft,surface-code-d7-r7-p1e-3,success,64,3.89504,1024,0,67108864,262349702.72379884,422086.5398430228,242477337795.16406
clifft,distillation-color-code-85q-p5e-2,success,64,3.89504,256,0,59441152,121425683.21931103,367574.3125939369,112227977014.23341
clifft,coherent-surface-d3-r1-p1e-3-rz2e-2,success,64,3.89504,2048,0,67108864,402787465.5434038,1519561.39412719,372277274676.5768
clifft,coherent-surface-d3-r3-p1e-3-rz2e-2,success,64,3.89504,2048,0,30932992,68931869.11230253,501520.24472926557,63710444258.41303
clifft,coherent-surface-d5-r1-p1e-3-rz2e-2,success,64,3.89504,1,0,2450176,5025434.735815666,29361.56047316082,4644770027.76259
clifft,coherent-surface-d5-r5-p1e-3-rz2e-2,success,64,3.89504,1,0,199680,422919.42456043285,2130.8193821705645,390884285.7628056
symft,msc-d3-inject-cultivate-p1e-3,success,64,3.89504,2048,2048,67108864,169762214.1236337,17526.83328077197,156903130865.1725
symft,msc-d5-inject-cultivate-p1e-3,success,64,3.89504,256,2048,5242880,11091503.349265771,18853.362863106653,10251348396.256977
symft,surface-code-d7-r7-p1e-3,success,64,3.89504,2048,2048,67108864,260638406.86653283,84378.17310908437,240895668521.89404
symft,distillation-color-code-85q-p5e-2,success,64,3.89504,1024,2048,47710208,122948560.07746066,52576.62018491328,113635499578.6586
symft,coherent-surface-d3-r1-p1e-3-rz2e-2,success,64,3.89504,1024,2048,67108864,165741399.6885321,516585.3258494437,153186883543.87006
symft,coherent-surface-d3-r3-p1e-3-rz2e-2,success,64,3.89504,256,2048,17301504,34879760.23853692,92291.6005409658,32237701502.098286
symft,coherent-surface-d5-r1-p1e-3-rz2e-2,success,64,3.89504,32,2048,524288,1918408.4146803974,11335.44390478218,1773093547.909503
symft,coherent-surface-d5-r5-p1e-3-rz2e-2,success,64,3.89504,1,4,1024,548.1361905238424,0.359236308829054,506616.1800355921
stim,surface-code-d7-r7-p1e-3,success,64,3.89504,4096,0,524288,74628056.3505228,306492.07550930977,68975158884.6025
tsim,surface-code-d7-r7-p1e-3,success,64,3.89504,0,0,65536,86143911.48220336,82917.4901189655,79618715426.78178
tsim,coherent-surface-d3-r1-p1e-3-rz2e-2,success,64,3.89504,0,0,65536,3374219114.5350103,3150428.458443165,3118630055744.2383
tsim,coherent-surface-d5-r1-p1e-3-rz2e-2,success,64,3.89504,0,0,65536,1903985411.375081,461171.3745417595,1759763052741.5103
