execution_id,campaign_id,hardware_epoch,campaign_run_id,result_id,placement,replica,case_id,pair_id,workload_id,workload_family,implementation_id,simulator_name,simulator_version,adapter,mode,batch_enabled,batch_size_effective,shots_per_call,cpu_model,instance_type,image_id,boot_id,repetition,sequence_index,started_at,duration_seconds,api_calls,attempted_shots,accepted_shots,discarded_shots,logical_errors,throughput_attempted_shots_per_second
current-tools-v1-20260824-r1,current-tools-v1,aws-m7a-xlarge-ubuntu2404-v1,clifft-0.8.0,87f86b53-a447-479c-8572-adf64b362431,1,1,msc-d3-inject-cultivate-p1e-3--clifft-0.8.0,,msc-d3-inject-cultivate-p1e-3,magic-state-cultivation,clifft-0.8.0,Clifft,0.8.0,clifft,throughput,false,1,100000,AMD EPYC 9R14,m7a.xlarge,ami-0f8a61b66d1accaee,1b278a28-9935-4699-80c1-f2b5a60ada49,0,0,2026-08-24T19:07:25.342643Z,30.011726630000126,333,33300000,22873152,10426848,24,1109566.284224143
current-tools-v1-20260824-r1,current-tools-v1,aws-m7a-xlarge-ubuntu2404-v1,clifft-0.8.0,87f86b53-a447-479c-8572-adf64b362431,1,1,msc-d3-inject-cultivate-p1e-3--clifft-0.8.0,,msc-d3-inject-cultivate-p1e-3,magic-state-cultivation,clifft-0.8.0,Clifft,0.8.0,clifft,throughput,false,1,100000,AMD EPYC 9R14,m7a.xlarge,ami-0f8a61b66d1accaee,1b278a28-9935-4699-80c1-f2b5a60ada49,1,1,2026-08-24T19:07:55.357398Z,30.009542423000028,333,33300000,22864569,10435431,19,1109647.0426179536
current-tools-v1-20260824-r1,current-tools-v1,aws-m7a-xlarge-ubuntu2404-v1,clifft-0.8.0,87f86b53-a447-479c-8572-adf64b362431,1,1,msc-d3-inject-cultivate-p1e-3--clifft-0.8.0,,msc-d3-inject-cultivate-p1e-3,magic-state-cultivation,clifft-0.8.0,Clifft,0.8.0,clifft,throughput,false,1,100000,AMD EPYC 9R14,m7a.xlarge,ami-0f8a61b66d1accaee,1b278a28-9935-4699-80c1-f2b5a60ada49,2,2,2026-08-24T19:08:25.369873Z,30.00877070500036,333,33300000,22865078,10434922,29,1109675.5787617527
current-tools-v1-20260824-r1,current-tools-v1,aws-m7a-xlarge-ubuntu2404-v1,clifft-0.8.0,87f86b53-a447-479c-8572-adf64b362431,1,1,msc-d3-inject-cultivate-p1e-3--clifft-0.8.0,,msc-d3-inject-cultivate-p1e-3,magic-state-cultivation,clifft-0.8.0,Clifft,0.8.0,clifft,throughput,false,1,100000,AMD EPYC 9R14,m7a.xlarge,ami-0f8a61b66d1accaee,1b278a28-9935-4699-80c1-f2b5a60ada49,3,3,2026-08-24T19:08:55.382244Z,30.04385266899982,326,32600000,22392820,10207180,21,1085080.5440687602
current-tools-v1-20260824-r1,current-tools-v1,aws-m7a-xlarge-ubuntu2404-v1,clifft-0.8.0,87f86b53-a447-479c-8572-adf64b362431,1,1,msc-d3-inject-cultivate-p1e-3--clifft-0.8.0,,msc-d3-inject-cultivate-p1e-3,magic-state-cultivation,clifft-0.8.0,Clifft,0.8.0,clifft,throughput,false,1,100000,AMD EPYC 9R14,m7a.xlarge,ami-0f8a61b66d1accaee,1b278a28-9935-4699-80c1-f2b5a60ada49,4,4,2026-08-24T19:09:25.429837Z,30.066987469999816,329,32900000,22592613,10307387,25,1094223.3581873442
current-tools-v1-20260824-r1,current-tools-v1,aws-m7a-xlarge-ubuntu2404-v1,clifft-0.8.0,87f86b53-a447-479c-8572-adf64b362431,1,1,msc-d5-inject-cultivate-p1e-3--clifft-0.8.0,,msc-d5-inject-cultivate-p1e-3,magic-state-cultivation,clifft-0.8.0,Clifft,0.8.0,clifft,throughput,false,1,20000,AMD EPYC 9R14,m7a.xlarge,ami-0f8a61b66d1accaee,1b278a28-9935-4699-80c1-f2b5a60ada49,0,5,2026-08-24T19:09:55.613327Z,30.12088884400029,206,4120000,593078,3526922,0,136782.15212499126
current-tools-v1-20260824-r1,current-tools-v1,aws-m7a-xlarge-ubuntu2404-v1,clifft-0.8.0,87f86b53-a447-479c-8572-adf64b362431,1,1,msc-d5-inject-cultivate-p1e-3--clifft-0.8.0,,msc-d5-inject-cultivate-p1e-3,magic-state-cultivation,clifft-0.8.0,Clifft,0.8.0,clifft,throughput,false,1,20000,AMD EPYC 9R14,m7a.xlarge,ami-0f8a61b66d1accaee,1b278a28-9935-4699-80c1-f2b5a60ada49,1,6,2026-08-24T19:10:25.737533Z,30.133334636999535,206,4120000,591928,3528072,0,136725.65780161662
current-tools-v1-20260824-r1,current-tools-v1,aws-m7a-xlarge-ubuntu2404-v1,clifft-0.8.0,87f86b53-a447-479c-8572-adf64b362431,1,1,msc-d5-inject-cultivate-p1e-3--clifft-0.8.0,,msc-d5-inject-cultivate-p1e-3,magic-state-cultivation,clifft-0.8.0,Clifft,0.8.0,clifft,throughput,false,1,20000,AMD EPYC 9R14,m7a.xlarge,ami-0f8a61b66d1accaee,1b278a28-9935-4699-80c1-f2b5a60ada49,2,7,2026-08-24T19:10:55.873991Z,30.000289521999946,205,4100000,590688,3509312,0,136665.3477458399
current-tools-v1-20260824-r1,current-tools-v1,aws-m7a-xlarge-ubuntu2404-v1,clifft-0.8.0,87f86b53-a447-479c-8572-adf64b362431,1,1,msc-d5-inject-cultivate-p1e-3--clifft-0.8.0,,msc-d5-inject-cultivate-p1e-3,magic-state-cultivation,clifft-0.8.0,Clifft,0.8.0,clifft,throughput,false,1,20000,AMD EPYC 9R14,m7a.xlarge,ami-0f8a61b66d1accaee,1b278a28-9935-4699-80c1-f2b5a60ada49,3,8,2026-08-24T19:11:25.876642Z,30.118089816999657,206,4120000,592847,3527153,0,136794.8639848512
current-tools-v1-20260824-r1,current-tools-v1,aws-m7a-xlarge-ubuntu2404-v1,clifft-0.8.0,87f86b53-a447-479c-8572-adf64b362431,1,1,msc-d5-inject-cultivate-p1e-3--clifft-0.8.0,,msc-d5-inject-cultivate-p1e-3,magic-state-cultivation,clifft-0.8.0,Clifft,0.8.0,clifft,throughput,false,1,20000,AMD EPYC 9R14,m7a.xlarge,ami-0f8a61b66d1accaee,1b278a28-9935-4699-80c1-f2b5a60ada49,4,9,2026-08-24T19:11:55.997205Z,30.06216928600037,205,4100000,588897,3511103,0,136384.0367271608
