execution_id,campaign_id,hardware_epoch,placement,replica,comparison_id,workload_id,baseline_variant_id,baseline_result_id,baseline_case_id,baseline_implementation_id,baseline_simulator_name,baseline_simulator_version,baseline_simulator_display_version,baseline_mode,baseline_batch_enabled,baseline_batch_size_effective,baseline_shots_per_call,candidate_variant_id,candidate_result_id,candidate_case_id,candidate_implementation_id,candidate_simulator_name,candidate_simulator_version,candidate_simulator_display_version,candidate_mode,candidate_batch_enabled,candidate_batch_size_effective,candidate_shots_per_call,statistic,baseline_rate,candidate_rate,ratio_candidate_over_baseline,symmetric_delta_percent
release-v1-20260902,release-v1,aws-m7a-xlarge-ubuntu2404-v1,1,1,current-vs-previous,coherent-surface-d3-r1-p1e-3-rz2e-2,clifft-previous,76880460-d195-44ba-9b8f-afd8bc0eaa70,coherent-surface-d3-r1-p1e-3-rz2e-2--clifft-previous,clifft-0.9.0,Clifft,0.9.0,0.9.0,throughput,false,1,100000,clifft-current,76880460-d195-44ba-9b8f-afd8bc0eaa70,coherent-surface-d3-r1-p1e-3-rz2e-2--clifft-current,clifft-0.10.0rc1,Clifft,0.10.0rc1,0.10.0,throughput,false,1,100000,result-sample-median,1860779.4379928103,2311781.775831871,1.242372808206409,21.617530084149926
release-v1-20260902,release-v1,aws-m7a-xlarge-ubuntu2404-v1,1,1,current-vs-previous,coherent-surface-d3-r3-p1e-3-rz2e-2,clifft-previous,76880460-d195-44ba-9b8f-afd8bc0eaa70,coherent-surface-d3-r3-p1e-3-rz2e-2--clifft-previous,clifft-0.9.0,Clifft,0.9.0,0.9.0,throughput,false,1,100000,clifft-current,76880460-d195-44ba-9b8f-afd8bc0eaa70,coherent-surface-d3-r3-p1e-3-rz2e-2--clifft-current,clifft-0.10.0rc1,Clifft,0.10.0rc1,0.10.0,throughput,false,1,100000,result-sample-median,464458.66231110995,1044777.1372737709,2.249451290401263,76.90229387909814
release-v1-20260902,release-v1,aws-m7a-xlarge-ubuntu2404-v1,1,1,current-vs-previous,coherent-surface-d5-r1-p1e-3-rz2e-2,clifft-previous,76880460-d195-44ba-9b8f-afd8bc0eaa70,coherent-surface-d5-r1-p1e-3-rz2e-2--clifft-previous,clifft-0.9.0,Clifft,0.9.0,0.9.0,throughput,false,1,10000,clifft-current,76880460-d195-44ba-9b8f-afd8bc0eaa70,coherent-surface-d5-r1-p1e-3-rz2e-2--clifft-current,clifft-0.10.0rc1,Clifft,0.10.0rc1,0.10.0,throughput,false,1,10000,result-sample-median,14769.449009274382,69886.92990815424,4.731857624767802,130.21459600259976
release-v1-20260902,release-v1,aws-m7a-xlarge-ubuntu2404-v1,1,1,current-vs-previous,coherent-surface-d5-r5-p1e-3-rz2e-2,clifft-previous,76880460-d195-44ba-9b8f-afd8bc0eaa70,coherent-surface-d5-r5-p1e-3-rz2e-2--clifft-previous,clifft-0.9.0,Clifft,0.9.0,0.9.0,throughput,false,1,1,clifft-current,76880460-d195-44ba-9b8f-afd8bc0eaa70,coherent-surface-d5-r5-p1e-3-rz2e-2--clifft-current,clifft-0.10.0rc1,Clifft,0.10.0rc1,0.10.0,throughput,false,1,1,result-sample-median,6.965836615253719,5864.199895010865,841.8514844533531,199.52542054279064
release-v1-20260902,release-v1,aws-m7a-xlarge-ubuntu2404-v1,1,1,current-vs-previous,distillation-color-code-85q-p5e-2,clifft-previous,76880460-d195-44ba-9b8f-afd8bc0eaa70,distillation-color-code-85q-p5e-2--clifft-previous,clifft-0.9.0,Clifft,0.9.0,0.9.0,throughput,false,1,100000,clifft-current,76880460-d195-44ba-9b8f-afd8bc0eaa70,distillation-color-code-85q-p5e-2--clifft-current,clifft-0.10.0rc1,Clifft,0.10.0rc1,0.10.0,throughput,false,1,100000,result-sample-median,577853.8099798849,693401.1983802267,1.199959551022713,18.17847522967012
release-v1-20260902,release-v1,aws-m7a-xlarge-ubuntu2404-v1,1,1,current-vs-previous,msc-d3-inject-cultivate-p1e-3,clifft-previous,76880460-d195-44ba-9b8f-afd8bc0eaa70,msc-d3-inject-cultivate-p1e-3--clifft-previous,clifft-0.9.0,Clifft,0.9.0,0.9.0,throughput,false,1,100000,clifft-current,76880460-d195-44ba-9b8f-afd8bc0eaa70,msc-d3-inject-cultivate-p1e-3--clifft-current,clifft-0.10.0rc1,Clifft,0.10.0rc1,0.10.0,throughput,false,1,100000,result-sample-median,1128836.3884520005,1369183.761283452,1.2129160392863003,19.24302915305987
release-v1-20260902,release-v1,aws-m7a-xlarge-ubuntu2404-v1,1,1,current-vs-previous,msc-d5-inject-cultivate-p1e-3,clifft-previous,76880460-d195-44ba-9b8f-afd8bc0eaa70,msc-d5-inject-cultivate-p1e-3--clifft-previous,clifft-0.9.0,Clifft,0.9.0,0.9.0,throughput,false,1,20000,clifft-current,76880460-d195-44ba-9b8f-afd8bc0eaa70,msc-d5-inject-cultivate-p1e-3--clifft-current,clifft-0.10.0rc1,Clifft,0.10.0rc1,0.10.0,throughput,false,1,20000,result-sample-median,177240.62891033283,192014.55323505276,1.0833551788636124,8.00201326295973
release-v1-20260902,release-v1,aws-m7a-xlarge-ubuntu2404-v1,1,1,current-vs-previous,surface-code-d7-r7-p1e-3,clifft-previous,76880460-d195-44ba-9b8f-afd8bc0eaa70,surface-code-d7-r7-p1e-3--clifft-previous,clifft-0.9.0,Clifft,0.9.0,0.9.0,throughput,false,1,100000,clifft-current,76880460-d195-44ba-9b8f-afd8bc0eaa70,surface-code-d7-r7-p1e-3--clifft-current,clifft-0.10.0rc1,Clifft,0.10.0rc1,0.10.0,throughput,false,1,100000,result-sample-median,485472.945687729,559287.0914537592,1.152045848119227,14.13035398405727
release-v1-20260902,release-v1,aws-m7a-xlarge-ubuntu2404-v1,2,1,current-vs-previous,coherent-surface-d3-r1-p1e-3-rz2e-2,clifft-previous,c566a190-0a60-4e6c-8540-7afa2c98179e,coherent-surface-d3-r1-p1e-3-rz2e-2--clifft-previous,clifft-0.9.0,Clifft,0.9.0,0.9.0,throughput,false,1,100000,clifft-current,c566a190-0a60-4e6c-8540-7afa2c98179e,coherent-surface-d3-r1-p1e-3-rz2e-2--clifft-current,clifft-0.10.0rc1,Clifft,0.10.0rc1,0.10.0,throughput,false,1,100000,result-sample-median,1844312.0996197495,2195705.47478477,1.1905281515191866,17.395635969074437
release-v1-20260902,release-v1,aws-m7a-xlarge-ubuntu2404-v1,2,1,current-vs-previous,coherent-surface-d3-r3-p1e-3-rz2e-2,clifft-previous,c566a190-0a60-4e6c-8540-7afa2c98179e,coherent-surface-d3-r3-p1e-3-rz2e-2--clifft-previous,clifft-0.9.0,Clifft,0.9.0,0.9.0,throughput,false,1,100000,clifft-current,c566a190-0a60-4e6c-8540-7afa2c98179e,coherent-surface-d3-r3-p1e-3-rz2e-2--clifft-current,clifft-0.10.0rc1,Clifft,0.10.0rc1,0.10.0,throughput,false,1,100000,result-sample-median,462345.78717460996,1039336.8785085364,2.2479644182764433,76.8459414920983
