execution_id,campaign_id,hardware_epoch,placement,replica,comparison_id,workload_id,baseline_variant_id,baseline_result_id,baseline_case_id,baseline_implementation_id,baseline_simulator_name,baseline_simulator_version,baseline_simulator_display_version,baseline_mode,baseline_batch_enabled,baseline_batch_size_effective,baseline_shots_per_call,candidate_variant_id,candidate_result_id,candidate_case_id,candidate_implementation_id,candidate_simulator_name,candidate_simulator_version,candidate_simulator_display_version,candidate_mode,candidate_batch_enabled,candidate_batch_size_effective,candidate_shots_per_call,statistic,baseline_rate,candidate_rate,ratio_candidate_over_baseline,symmetric_delta_percent
release-v1-20260903-133252,release-v1,aws-m7a-xlarge-ubuntu2404-v1,1,1,current-vs-previous,coherent-surface-d3-r1-p1e-3-rz2e-2,clifft-previous,644b4c0d-df05-4284-a8c4-5917cbb54e08,coherent-surface-d3-r1-p1e-3-rz2e-2--clifft-previous,clifft-0.9.0,Clifft,0.9.0,0.9.0,throughput,false,1,100000,clifft-current,644b4c0d-df05-4284-a8c4-5917cbb54e08,coherent-surface-d3-r1-p1e-3-rz2e-2--clifft-current,clifft-0.10.0rc1,Clifft,0.10.0rc1,0.10.0,throughput,true,2048,100000,result-sample-median,1853456.5586172873,5887215.475810242,3.1763439226232597,104.22244733409057
release-v1-20260903-133252,release-v1,aws-m7a-xlarge-ubuntu2404-v1,1,1,current-vs-previous,coherent-surface-d3-r3-p1e-3-rz2e-2,clifft-previous,644b4c0d-df05-4284-a8c4-5917cbb54e08,coherent-surface-d3-r3-p1e-3-rz2e-2--clifft-previous,clifft-0.9.0,Clifft,0.9.0,0.9.0,throughput,false,1,100000,clifft-current,644b4c0d-df05-4284-a8c4-5917cbb54e08,coherent-surface-d3-r3-p1e-3-rz2e-2--clifft-current,clifft-0.10.0rc1,Clifft,0.10.0rc1,0.10.0,throughput,false,1,100000,result-sample-median,465767.56448578485,1068453.0213814857,2.2939618445974777,78.56568507129141
release-v1-20260903-133252,release-v1,aws-m7a-xlarge-ubuntu2404-v1,1,1,current-vs-previous,coherent-surface-d5-r1-p1e-3-rz2e-2,clifft-previous,644b4c0d-df05-4284-a8c4-5917cbb54e08,coherent-surface-d5-r1-p1e-3-rz2e-2--clifft-previous,clifft-0.9.0,Clifft,0.9.0,0.9.0,throughput,false,1,10000,clifft-current,644b4c0d-df05-4284-a8c4-5917cbb54e08,coherent-surface-d5-r1-p1e-3-rz2e-2--clifft-current,clifft-0.10.0rc1,Clifft,0.10.0rc1,0.10.0,throughput,false,1,10000,result-sample-median,14693.575086955965,68865.73389267895,4.686792253426032,129.6615768302388
release-v1-20260903-133252,release-v1,aws-m7a-xlarge-ubuntu2404-v1,1,1,current-vs-previous,coherent-surface-d5-r5-p1e-3-rz2e-2,clifft-previous,644b4c0d-df05-4284-a8c4-5917cbb54e08,coherent-surface-d5-r5-p1e-3-rz2e-2--clifft-previous,clifft-0.9.0,Clifft,0.9.0,0.9.0,throughput,false,1,1,clifft-current,644b4c0d-df05-4284-a8c4-5917cbb54e08,coherent-surface-d5-r5-p1e-3-rz2e-2--clifft-current,clifft-0.10.0rc1,Clifft,0.10.0rc1,0.10.0,throughput,false,1,1,result-sample-median,6.955796532037833,5819.095112344605,836.5821348485865,199.52243489520902
release-v1-20260903-133252,release-v1,aws-m7a-xlarge-ubuntu2404-v1,1,1,current-vs-previous,distillation-color-code-85q-p5e-2,clifft-previous,644b4c0d-df05-4284-a8c4-5917cbb54e08,distillation-color-code-85q-p5e-2--clifft-previous,clifft-0.9.0,Clifft,0.9.0,0.9.0,throughput,false,1,100000,clifft-current,644b4c0d-df05-4284-a8c4-5917cbb54e08,distillation-color-code-85q-p5e-2--clifft-current,clifft-0.10.0rc1,Clifft,0.10.0rc1,0.10.0,throughput,true,1024,100000,result-sample-median,579963.4427196757,1903499.8828819236,3.282103220085161,106.58795936450012
release-v1-20260903-133252,release-v1,aws-m7a-xlarge-ubuntu2404-v1,1,1,current-vs-previous,msc-d3-inject-cultivate-p1e-3,clifft-previous,644b4c0d-df05-4284-a8c4-5917cbb54e08,msc-d3-inject-cultivate-p1e-3--clifft-previous,clifft-0.9.0,Clifft,0.9.0,0.9.0,throughput,false,1,100000,clifft-current,644b4c0d-df05-4284-a8c4-5917cbb54e08,msc-d3-inject-cultivate-p1e-3--clifft-current,clifft-0.10.0rc1,Clifft,0.10.0rc1,0.10.0,throughput,true,2048,100000,result-sample-median,1198141.2452475878,2816221.531687395,2.350492100040711,80.61455211455663
release-v1-20260903-133252,release-v1,aws-m7a-xlarge-ubuntu2404-v1,1,1,current-vs-previous,msc-d5-inject-cultivate-p1e-3,clifft-previous,644b4c0d-df05-4284-a8c4-5917cbb54e08,msc-d5-inject-cultivate-p1e-3--clifft-previous,clifft-0.9.0,Clifft,0.9.0,0.9.0,throughput,false,1,20000,clifft-current,644b4c0d-df05-4284-a8c4-5917cbb54e08,msc-d5-inject-cultivate-p1e-3--clifft-current,clifft-0.10.0rc1,Clifft,0.10.0rc1,0.10.0,throughput,false,1,20000,result-sample-median,182697.9890427305,193760.43354718175,1.060550444821064,5.877113561888295
release-v1-20260903-133252,release-v1,aws-m7a-xlarge-ubuntu2404-v1,1,1,current-vs-previous,surface-code-d7-r7-p1e-3,clifft-previous,644b4c0d-df05-4284-a8c4-5917cbb54e08,surface-code-d7-r7-p1e-3--clifft-previous,clifft-0.9.0,Clifft,0.9.0,0.9.0,throughput,false,1,100000,clifft-current,644b4c0d-df05-4284-a8c4-5917cbb54e08,surface-code-d7-r7-p1e-3--clifft-current,clifft-0.10.0rc1,Clifft,0.10.0rc1,0.10.0,throughput,true,2048,100000,result-sample-median,481628.39291987795,4154854.499039508,8.62668098500309,158.44881526424948
release-v1-20260903-133252,release-v1,aws-m7a-xlarge-ubuntu2404-v1,1,1,alternatives-vs-current,coherent-surface-d3-r1-p1e-3-rz2e-2,clifft-current,644b4c0d-df05-4284-a8c4-5917cbb54e08,coherent-surface-d3-r1-p1e-3-rz2e-2--clifft-current,clifft-0.10.0rc1,Clifft,0.10.0rc1,0.10.0,throughput,true,2048,100000,symft-current,644b4c0d-df05-4284-a8c4-5917cbb54e08,coherent-surface-d3-r1-p1e-3-rz2e-2--symft-current,symft-0.1.0-9ec5790,SymFT,0.1.0,0.1.0,throughput,true,1024,100000,result-sample-median,5887215.475810242,2701374.3555405573,0.4588543372737303,74.18775800982968
release-v1-20260903-133252,release-v1,aws-m7a-xlarge-ubuntu2404-v1,1,1,alternatives-vs-current,coherent-surface-d3-r3-p1e-3-rz2e-2,clifft-current,644b4c0d-df05-4284-a8c4-5917cbb54e08,coherent-surface-d3-r3-p1e-3-rz2e-2--clifft-current,clifft-0.10.0rc1,Clifft,0.10.0rc1,0.10.0,throughput,false,1,100000,symft-current,644b4c0d-df05-4284-a8c4-5917cbb54e08,coherent-surface-d3-r3-p1e-3-rz2e-2--symft-current,symft-0.1.0-9ec5790,SymFT,0.1.0,0.1.0,throughput,true,32,100000,result-sample-median,1068453.0213814857,579418.8995108828,0.5422970293646671,59.353414020887904
