source_result,run_id,workflow_run_id,run_attempt,hardware_key,machine,cpu_model,physical_cores,logical_cpus,memory_bytes,image_os,image_version,pair_id,workload_id,case_a,case_b,repetition,sequence_a,sequence_b,rate_a,rate_b,ratio_b_over_a,absolute_delta_percent
ec2-aa-p01-r01-raw.json,934976c3-beaf-4ce8-8ec4-c3b70eddb3c5,i-0b559eec365c2acb7/c680357a-e94d-4ca6-9ff4-933420e4e8eb,1,f594787add0d,x86_64,AMD EPYC 9R14,4,4,16375955456,ubuntu-24.04,ami-0f8a61b66d1accaee,coherent-d5-r5-clifft-aa,coherent-surface-d5-r5-p1e-3-rz2e-2,coherent-d5-r5-aa-a,coherent-d5-r5-aa-b,0,12,13,0.397588585190588,0.3962449410101116,0.9966205162056343,0.3385203915251834
ec2-aa-p01-r01-raw.json,934976c3-beaf-4ce8-8ec4-c3b70eddb3c5,i-0b559eec365c2acb7/c680357a-e94d-4ca6-9ff4-933420e4e8eb,1,f594787add0d,x86_64,AMD EPYC 9R14,4,4,16375955456,ubuntu-24.04,ami-0f8a61b66d1accaee,coherent-d5-r5-clifft-aa,coherent-surface-d5-r5-p1e-3-rz2e-2,coherent-d5-r5-aa-a,coherent-d5-r5-aa-b,1,15,14,0.4246505596349807,0.421808523354929,0.9933073530328215,0.6715117923982571
ec2-aa-p01-r01-raw.json,934976c3-beaf-4ce8-8ec4-c3b70eddb3c5,i-0b559eec365c2acb7/c680357a-e94d-4ca6-9ff4-933420e4e8eb,1,f594787add0d,x86_64,AMD EPYC 9R14,4,4,16375955456,ubuntu-24.04,ami-0f8a61b66d1accaee,coherent-d5-r5-clifft-aa,coherent-surface-d5-r5-p1e-3-rz2e-2,coherent-d5-r5-aa-a,coherent-d5-r5-aa-b,2,16,17,0.36046583508452174,0.3570286512699704,0.9904646058516325,0.9581073805919446
ec2-aa-p01-r01-raw.json,934976c3-beaf-4ce8-8ec4-c3b70eddb3c5,i-0b559eec365c2acb7/c680357a-e94d-4ca6-9ff4-933420e4e8eb,1,f594787add0d,x86_64,AMD EPYC 9R14,4,4,16375955456,ubuntu-24.04,ami-0f8a61b66d1accaee,coherent-d5-r5-clifft-aa,coherent-surface-d5-r5-p1e-3-rz2e-2,coherent-d5-r5-aa-a,coherent-d5-r5-aa-b,3,19,18,0.42692203820428226,0.42508803446653337,0.9957041249370422,0.4305122196501261
ec2-aa-p01-r01-raw.json,934976c3-beaf-4ce8-8ec4-c3b70eddb3c5,i-0b559eec365c2acb7/c680357a-e94d-4ca6-9ff4-933420e4e8eb,1,f594787add0d,x86_64,AMD EPYC 9R14,4,4,16375955456,ubuntu-24.04,ami-0f8a61b66d1accaee,coherent-d5-r5-clifft-aa,coherent-surface-d5-r5-p1e-3-rz2e-2,coherent-d5-r5-aa-a,coherent-d5-r5-aa-b,4,20,21,0.32269896375649737,0.3209881973458383,0.9946985686264862,0.5315521309231486
ec2-aa-p01-r01-raw.json,934976c3-beaf-4ce8-8ec4-c3b70eddb3c5,i-0b559eec365c2acb7/c680357a-e94d-4ca6-9ff4-933420e4e8eb,1,f594787add0d,x86_64,AMD EPYC 9R14,4,4,16375955456,ubuntu-24.04,ami-0f8a61b66d1accaee,coherent-d5-r5-clifft-aa,coherent-surface-d5-r5-p1e-3-rz2e-2,coherent-d5-r5-aa-a,coherent-d5-r5-aa-b,5,23,22,0.3757762521330392,0.3748945744306125,0.99765371628084,0.23490394756987065
ec2-aa-p01-r01-raw.json,934976c3-beaf-4ce8-8ec4-c3b70eddb3c5,i-0b559eec365c2acb7/c680357a-e94d-4ca6-9ff4-933420e4e8eb,1,f594787add0d,x86_64,AMD EPYC 9R14,4,4,16375955456,ubuntu-24.04,ami-0f8a61b66d1accaee,msc-d3-clifft-aa,msc-d3-inject-cultivate-p1e-3,msc-d3-aa-a,msc-d3-aa-b,0,0,1,792196.6236277986,789062.868931336,0.99604422108982,0.3963618509433814
ec2-aa-p01-r01-raw.json,934976c3-beaf-4ce8-8ec4-c3b70eddb3c5,i-0b559eec365c2acb7/c680357a-e94d-4ca6-9ff4-933420e4e8eb,1,f594787add0d,x86_64,AMD EPYC 9R14,4,4,16375955456,ubuntu-24.04,ami-0f8a61b66d1accaee,msc-d3-clifft-aa,msc-d3-inject-cultivate-p1e-3,msc-d3-aa-a,msc-d3-aa-b,1,3,2,791839.7679082364,790498.0172051247,0.9983055275101224,0.16959093257265737
ec2-aa-p01-r01-raw.json,934976c3-beaf-4ce8-8ec4-c3b70eddb3c5,i-0b559eec365c2acb7/c680357a-e94d-4ca6-9ff4-933420e4e8eb,1,f594787add0d,x86_64,AMD EPYC 9R14,4,4,16375955456,ubuntu-24.04,ami-0f8a61b66d1accaee,msc-d3-clifft-aa,msc-d3-inject-cultivate-p1e-3,msc-d3-aa-a,msc-d3-aa-b,2,4,5,795053.3117567396,788036.0077507977,0.9911737943831256,0.8865329226180213
ec2-aa-p01-r01-raw.json,934976c3-beaf-4ce8-8ec4-c3b70eddb3c5,i-0b559eec365c2acb7/c680357a-e94d-4ca6-9ff4-933420e4e8eb,1,f594787add0d,x86_64,AMD EPYC 9R14,4,4,16375955456,ubuntu-24.04,ami-0f8a61b66d1accaee,msc-d3-clifft-aa,msc-d3-inject-cultivate-p1e-3,msc-d3-aa-a,msc-d3-aa-b,3,7,6,790326.5225636368,790130.8128121109,0.9997523684882913,0.02476621761882165
ec2-aa-p01-r01-raw.json,934976c3-beaf-4ce8-8ec4-c3b70eddb3c5,i-0b559eec365c2acb7/c680357a-e94d-4ca6-9ff4-933420e4e8eb,1,f594787add0d,x86_64,AMD EPYC 9R14,4,4,16375955456,ubuntu-24.04,ami-0f8a61b66d1accaee,msc-d3-clifft-aa,msc-d3-inject-cultivate-p1e-3,msc-d3-aa-a,msc-d3-aa-b,4,8,9,793175.1764240359,786083.5271098139,0.9910591638202872,0.8980984937240893
ec2-aa-p01-r01-raw.json,934976c3-beaf-4ce8-8ec4-c3b70eddb3c5,i-0b559eec365c2acb7/c680357a-e94d-4ca6-9ff4-933420e4e8eb,1,f594787add0d,x86_64,AMD EPYC 9R14,4,4,16375955456,ubuntu-24.04,ami-0f8a61b66d1accaee,msc-d3-clifft-aa,msc-d3-inject-cultivate-p1e-3,msc-d3-aa-a,msc-d3-aa-b,5,11,10,792075.223569575,785848.705040126,0.9921389808137306,0.7892038920957558
ec2-aa-p01-r02-raw.json,64a4d370-c2fa-4da9-b6e9-de03e4017719,i-0b559eec365c2acb7/c680357a-e94d-4ca6-9ff4-933420e4e8eb,1,f594787add0d,x86_64,AMD EPYC 9R14,4,4,16375955456,ubuntu-24.04,ami-0f8a61b66d1accaee,coherent-d5-r5-clifft-aa,coherent-surface-d5-r5-p1e-3-rz2e-2,coherent-d5-r5-aa-a,coherent-d5-r5-aa-b,0,12,13,0.3944173583363605,0.3940857379886828,0.9991592146221037,0.08411389865766453
ec2-aa-p01-r02-raw.json,64a4d370-c2fa-4da9-b6e9-de03e4017719,i-0b559eec365c2acb7/c680357a-e94d-4ca6-9ff4-933420e4e8eb,1,f594787add0d,x86_64,AMD EPYC 9R14,4,4,16375955456,ubuntu-24.04,ami-0f8a61b66d1accaee,coherent-d5-r5-clifft-aa,coherent-surface-d5-r5-p1e-3-rz2e-2,coherent-d5-r5-aa-a,coherent-d5-r5-aa-b,1,15,14,0.4185993183602242,0.4218678502835648,1.007808259067751,0.7777893165332983
ec2-aa-p01-r02-raw.json,64a4d370-c2fa-4da9-b6e9-de03e4017719,i-0b559eec365c2acb7/c680357a-e94d-4ca6-9ff4-933420e4e8eb,1,f594787add0d,x86_64,AMD EPYC 9R14,4,4,16375955456,ubuntu-24.04,ami-0f8a61b66d1accaee,coherent-d5-r5-clifft-aa,coherent-surface-d5-r5-p1e-3-rz2e-2,coherent-d5-r5-aa-a,coherent-d5-r5-aa-b,2,16,17,0.35313168185796756,0.3536584619599088,1.001491738433577,0.14906266210666824
ec2-aa-p01-r02-raw.json,64a4d370-c2fa-4da9-b6e9-de03e4017719,i-0b559eec365c2acb7/c680357a-e94d-4ca6-9ff4-933420e4e8eb,1,f594787add0d,x86_64,AMD EPYC 9R14,4,4,16375955456,ubuntu-24.04,ami-0f8a61b66d1accaee,coherent-d5-r5-clifft-aa,coherent-surface-d5-r5-p1e-3-rz2e-2,coherent-d5-r5-aa-a,coherent-d5-r5-aa-b,3,19,18,0.4218779193405858,0.4216025831119243,0.9993473556779366,0.06528573638892173
ec2-aa-p01-r02-raw.json,64a4d370-c2fa-4da9-b6e9-de03e4017719,i-0b559eec365c2acb7/c680357a-e94d-4ca6-9ff4-933420e4e8eb,1,f594787add0d,x86_64,AMD EPYC 9R14,4,4,16375955456,ubuntu-24.04,ami-0f8a61b66d1accaee,coherent-d5-r5-clifft-aa,coherent-surface-d5-r5-p1e-3-rz2e-2,coherent-d5-r5-aa-a,coherent-d5-r5-aa-b,4,20,21,0.32126982137465415,0.32179600579776524,1.0016378271101207,0.16364869687594386
ec2-aa-p01-r02-raw.json,64a4d370-c2fa-4da9-b6e9-de03e4017719,i-0b559eec365c2acb7/c680357a-e94d-4ca6-9ff4-933420e4e8eb,1,f594787add0d,x86_64,AMD EPYC 9R14,4,4,16375955456,ubuntu-24.04,ami-0f8a61b66d1accaee,coherent-d5-r5-clifft-aa,coherent-surface-d5-r5-p1e-3-rz2e-2,coherent-d5-r5-aa-a,coherent-d5-r5-aa-b,5,23,22,0.3781050712998951,0.3768101762638676,0.9965753037070468,0.3430570624202848
